StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,Gender_Label,Ethnicity_Label,ParentalEducation_Label,ParentalSupport_Label,GradeClass_Label,Total_Activities,Support_Score,Engagement_Score,At_Risk,GPA_Normalized,StudyTimeWeekly_Normalized,Absences_Normalized
1001,17,1,0,2,19.833722807854713,7,1,2,0,0,1,0,2.929195591667681,2.0,Male,Caucasian,Some College,Moderate,C,1,4,9.958430701963678,0,0.7322988979169203,0.9927731432791096,0.2413793103448275
1002,18,0,0,1,15.40875605584674,0,0,1,0,0,0,0,3.042914833436377,1.0,Female,Caucasian,High School,Low,D,0,2,3.852189013961685,0,0.7607287083590942,0.7712704924672595,0.0
1003,15,0,2,3,4.21056976881226,26,0,2,0,0,0,0,0.1126022544661815,4.0,Female,Asian,Bachelor,Moderate,A,0,5,1.052642442203065,1,0.0281505636165453,0.2107175921008397,0.896551724137931
1004,17,1,0,3,10.028829473958217,14,0,3,1,0,0,0,2.0542181397029484,3.0,Male,Caucasian,Bachelor,High,B,1,6,4.507207368489555,0,0.5135545349257371,0.5019649663815133,0.4827586206896551
1005,17,1,0,2,4.6724952729713305,17,1,3,0,0,0,0,1.2880611817953875,4.0,Male,Caucasian,Some College,High,A,0,5,4.168123818242833,1,0.3220152954488469,0.2338404152502802,0.5862068965517241
1006,18,0,0,1,8.191218545250186,0,0,1,1,0,0,0,3.0841836144863937,1.0,Female,Caucasian,High School,Low,D,1,2,4.047804636312547,0,0.7710459036215984,0.4099788081386409,0.0
1007,15,0,1,1,15.601680474699297,10,0,3,0,1,0,0,2.748237414891583,2.0,Female,African American,High School,High,C,1,4,5.900420118674824,0,0.6870593537228957,0.7809278012284577,0.3448275862068966
1008,15,1,1,4,15.424496305808074,22,1,1,1,0,0,0,1.360142712316461,4.0,Male,African American,Higher,Low,A,1,5,8.85612407645202,1,0.3400356780791152,0.772058409594387,0.7586206896551724
1009,17,0,0,0,4.562007558047703,1,0,2,0,1,0,1,2.896819189513569,2.0,Female,Caucasian,,Moderate,C,2,2,5.140501889511926,0,0.7242047973783923,0.2283096795161367,0.0344827586206896
1010,16,1,0,1,18.4444663630972,0,0,3,1,0,0,0,3.5734742103297656,0.0,Male,Caucasian,High School,High,F,1,4,6.6111165907743,0,0.8933685525824414,0.923230477216908,0.0
1011,17,0,0,1,11.851363655296536,11,0,1,0,0,0,0,2.1471716250185144,3.0,Female,Caucasian,High School,Low,B,0,2,2.962840913824134,0,0.5367929062546286,0.5931964207598885,0.3793103448275862
1012,17,0,0,1,7.59848581924029,15,0,2,0,0,0,1,1.5595945190402771,4.0,Female,Caucasian,High School,Moderate,A,1,3,3.899621454810073,1,0.3898986297600693,0.3803081060990046,0.5172413793103449
1013,17,0,1,1,10.038711615617212,21,0,3,1,0,0,0,1.520077814874808,4.0,Female,African American,High School,High,A,1,4,4.5096779039043025,1,0.380019453718702,0.5024596414143081,0.7241379310344828
1014,17,0,1,2,12.101425068754876,21,0,4,0,1,0,0,1.7515809583340785,4.0,Female,African American,Some College,Very High,A,1,6,5.0253562671887195,1,0.4378952395835196,0.6057138630483861,0.7241379310344828
1015,18,1,0,1,11.197810636915708,9,1,2,0,0,0,0,2.396788117124796,3.0,Male,Caucasian,High School,Moderate,B,0,3,5.799452659228927,0,0.599197029281199,0.5604812086169391,0.3103448275862069
1016,15,0,0,2,9.728100710723565,17,1,0,0,1,0,0,1.3415207165346672,4.0,Female,Caucasian,Some College,,A,1,2,7.432025177680892,1,0.3353801791336668,0.4869112446328432,0.5862068965517241
1017,18,0,3,1,10.098656081788002,14,0,2,1,1,0,0,2.232175277715976,3.0,Female,Other,High School,Moderate,B,2,3,6.524664020447,0,0.558043819428994,0.5054603098718295,0.4827586206896551
1018,18,1,0,0,3.5282382085577235,16,1,2,0,0,0,0,1.3844041756940335,4.0,Male,Caucasian,,Moderate,A,0,2,3.882059552139431,1,0.3461010439235084,0.1765617988939458,0.5517241379310345
1019,18,0,1,3,16.25465808609359,29,0,2,1,0,0,1,0.4695533233798704,4.0,Female,African American,Bachelor,Moderate,A,2,5,8.063664521523396,1,0.1173883308449676,0.8136142099520921,1.0
1020,17,0,0,1,10.835206398820308,9,0,2,0,0,1,0,2.3957840945306996,3.0,Female,Caucasian,High School,Moderate,B,1,3,4.708801599705077,0,0.5989460236326749,0.5423301569966539,0.3103448275862069
1021,16,1,0,3,2.621597234094062,2,0,3,0,0,0,1,2.778411299920653,2.0,Male,Caucasian,Bachelor,High,C,1,6,2.6553993085235152,0,0.6946028249801632,0.1311776433887752,0.0689655172413793
1022,15,0,0,2,15.32314203165556,25,0,1,1,0,0,0,0.3468940367050148,4.0,Female,Caucasian,Some College,Low,A,1,3,5.83078550791389,1,0.0867235091762537,0.7669848708190493,0.8620689655172413
1023,16,1,1,0,18.648879567547016,29,1,1,0,0,0,0,0.3125462305253549,4.0,Male,African American,,Low,A,0,1,7.662219891886754,1,0.0781365576313387,0.9334628855454072,1.0
1024,18,1,3,4,18.94613798473924,20,0,2,1,0,0,0,1.7701318767799732,4.0,Male,Other,Higher,Moderate,A,1,6,6.73653449618481,1,0.4425329691949933,0.9483428905430344,0.6896551724137931
1025,18,1,0,1,7.380354648223455,15,0,2,0,0,0,0,1.5051556220362858,4.0,Male,Caucasian,High School,Moderate,A,0,3,1.8450886620558635,1,0.3762889055090714,0.3693890110384605,0.5172413793103449
1026,16,1,0,3,2.7103374712150807,5,0,4,0,0,1,0,2.977851918315743,2.0,Male,Caucasian,Bachelor,Very High,C,1,7,2.67758436780377,0,0.7444629795789357,0.1356197553542624,0.1724137931034483
1027,16,0,0,1,10.367992532661304,2,0,2,0,1,0,0,2.948717671911921,2.0,Female,Caucasian,High School,Moderate,C,1,3,4.591998133165326,0,0.7371794179779803,0.5189426118126566,0.0689655172413793
1028,16,1,0,3,2.2521845869844137,8,0,3,0,0,1,0,2.1452047204671914,3.0,Male,Caucasian,Bachelor,High,B,1,6,2.563046146746103,0,0.5363011801167978,0.1126857800225525,0.2758620689655172
1029,18,0,0,0,18.679748370252344,10,0,3,1,0,0,0,2.854803928981318,2.0,Female,Caucasian,,High,C,1,3,6.669937092563086,0,0.7137009822453295,0.9350080997831224,0.3448275862068966
1030,18,0,0,2,3.67159254710292,20,0,3,1,0,0,0,1.519441725815139,4.0,Female,Caucasian,Some College,High,A,1,5,2.91789813677573,1,0.3798604314537847,0.1837377547310674,0.6896551724137931
1031,15,0,2,2,5.055317199023282,12,1,0,0,1,0,0,1.727120309522409,4.0,Female,Asian,Some College,,A,1,2,6.2638292997558205,1,0.4317800773806022,0.2530035132263105,0.4137931034482758
1032,15,0,0,3,8.132730537699409,17,0,4,0,0,0,1,1.8475354711387904,4.0,Female,Caucasian,Bachelor,Very High,A,1,7,4.033182634424852,1,0.4618838677846976,0.407051046318211,0.5862068965517241
1033,18,0,0,3,7.663289371182516,25,0,1,0,1,0,0,0.3846169728564877,4.0,Female,Caucasian,Bachelor,Low,A,1,4,3.9158223427956287,1,0.0961542432141219,0.3835520081081469,0.8620689655172413
1034,16,0,3,3,15.89325784795778,21,0,0,1,1,0,0,0.94940609779728,4.0,Female,Other,Bachelor,,A,2,3,7.973314461989445,1,0.23735152444932,0.7955234275264864,0.7241379310344828
1035,16,0,0,3,9.126336411019247,27,1,2,1,1,0,0,1.1409594184203395,4.0,Female,Caucasian,Bachelor,Moderate,A,2,5,9.281584102754811,1,0.2852398546050849,0.4567884448427753,0.9310344827586208
1036,15,0,3,1,3.415365200066738,23,0,1,0,0,0,0,0.2614722600507521,4.0,Female,Other,High School,Low,A,0,2,0.8538413000166845,1,0.065368065012688,0.1709116613930219,0.7931034482758621
1037,18,0,0,1,5.344197909721482,26,1,1,0,0,0,0,0.2182848568210317,4.0,Female,Caucasian,High School,Low,A,0,2,4.33604947743037,1,0.0545712142052579,0.2674641514128067,0.896551724137931
1038,15,0,2,1,10.18226770375044,21,1,1,0,1,0,0,1.0677635510419796,4.0,Female,Asian,High School,Low,A,1,2,7.54556692593761,1,0.2669408877604949,0.509645696325853,0.7241379310344828
1039,15,1,1,1,2.949078348522698,3,1,1,1,1,0,0,3.0189058584279675,1.0,Male,African American,High School,Low,D,2,2,7.737269587130674,0,0.7547264646069919,0.1475705202174757,0.1034482758620689
1040,17,1,2,1,12.233113512920282,21,1,3,1,1,0,0,1.5268678317927231,4.0,Male,Asian,High School,High,A,2,4,10.05827837823007,1,0.3817169579481808,0.612305853700223,0.7241379310344828
1041,17,1,3,2,11.314946131022918,23,1,1,0,0,0,0,1.0582873996898603,4.0,Male,Other,Some College,Low,A,0,3,5.8287365327557294,1,0.2645718499224651,0.5663447153737139,0.7931034482758621
1042,17,0,0,1,14.294046327645152,7,0,2,0,0,0,0,2.625128097732231,2.0,Female,Caucasian,High School,Moderate,C,0,3,3.573511581911288,0,0.6562820244330577,0.7154709410761978,0.2413793103448275
1043,16,1,3,2,18.754092307587353,12,1,4,0,0,0,0,2.8087548220286536,2.0,Male,Other,Some College,Very High,C,0,6,7.688523076896838,0,0.7021887055071634,0.938729569370215,0.4137931034482758
1044,18,1,0,1,18.245091222023113,9,0,2,0,1,0,0,2.8888916692724433,2.0,Male,Caucasian,High School,Moderate,C,1,3,6.561272805505778,0,0.7222229173181108,0.9132502616065066,0.3103448275862069
1045,18,1,0,1,18.921512361376628,1,1,3,1,1,0,0,4.0,0.0,Male,Caucasian,High School,High,F,2,4,11.730378090344155,0,1.0,0.947110194082606,0.0344827586206896
1046,18,0,0,2,4.894311940474019,7,0,4,0,0,1,0,2.515300272256249,2.0,Female,Caucasian,Some College,Very High,C,1,6,3.2235779851185047,0,0.6288250680640622,0.2449439969492389,0.2413793103448275
1047,18,0,1,2,2.6313061327870924,5,0,1,1,0,0,0,2.5637654300150947,2.0,Female,African American,Some College,Low,C,1,3,2.657826533196773,0,0.6409413575037737,0.1316636463165924,0.1724137931034483
1048,17,0,0,2,6.04553400992897,15,0,2,0,0,0,0,1.7036118032323682,4.0,Female,Caucasian,Some College,Moderate,A,0,4,1.5113835024822424,1,0.425902950808092,0.3025712638528063,0.5172413793103449
1049,16,0,1,2,17.90170345532629,17,0,3,0,0,1,0,2.0998851567205854,3.0,Female,African American,Some College,High,B,1,5,6.475425863831573,0,0.5249712891801463,0.8960611379718054,0.5862068965517241
1050,16,1,1,1,19.441069492469765,16,0,4,1,0,0,0,2.4610469629080955,3.0,Male,African American,High School,Very High,B,1,5,6.860267373117441,0,0.6152617407270239,0.9731179108034396,0.5517241379310345
1051,17,1,2,2,17.18649902140952,5,0,3,0,0,0,0,2.935477191694632,2.0,Male,Asian,Some College,High,C,0,5,4.29662475535238,0,0.733869297923658,0.8602598118006958,0.1724137931034483
1052,16,1,2,0,2.200354422550872,12,1,1,1,0,1,0,1.9863780592187463,4.0,Male,Asian,,Low,A,2,1,7.550088605637718,1,0.4965945148046866,0.1100912929998344,0.4137931034482758
1053,17,1,0,1,18.948559961195865,22,0,4,0,0,1,0,1.5715441913992825,4.0,Male,Caucasian,High School,Very High,A,1,5,6.737139990298966,1,0.3928860478498206,0.9484641285625296,0.7586206896551724
1054,18,0,0,2,8.46716054701572,13,0,1,0,1,0,0,1.6643106896610833,4.0,Female,Caucasian,Some College,Low,A,1,3,4.11679013675393,1,0.4160776724152708,0.4237917672605728,0.4482758620689655
1055,17,0,0,0,0.1862058152470735,29,1,2,1,1,0,0,0.7562591665741925,4.0,Female,Caucasian,,Moderate,A,2,2,7.046551453811769,1,0.1890647916435481,0.0092681047929768,1.0
1056,18,0,0,1,8.847874814963872,25,0,2,0,1,0,0,0.8027695392342074,4.0,Female,Caucasian,High School,Moderate,A,1,3,4.211968703740968,1,0.2006923848085518,0.4428493611993615,0.8620689655172413
1057,18,1,0,4,0.9213833935093518,20,0,2,0,1,1,0,1.3423871779577343,4.0,Male,Caucasian,Higher,Moderate,A,2,6,4.230345848377338,1,0.3355967944894336,0.0460692360847849,0.6896551724137931
1058,15,0,0,4,10.87755842322235,29,0,3,1,0,0,0,0.2865712882866222,4.0,Female,Caucasian,Higher,High,A,1,7,4.7193896058055875,1,0.0716428220716555,0.5444501922868723,1.0
1059,17,0,0,1,6.771080548741026,9,1,3,0,1,0,0,2.61383869367367,2.0,Female,Caucasian,High School,High,C,1,4,6.692770137185256,0,0.6534596734184175,0.3388902896536908,0.3103448275862069
1060,15,1,3,0,9.468698671880976,23,0,3,0,1,0,0,0.9290125546259368,4.0,Male,Other,,High,A,1,3,4.367174667970244,1,0.2322531386564842,0.4739262342474977,0.7931034482758621
1061,17,1,1,1,12.26340721486234,10,0,0,1,0,1,0,1.8927586959265916,4.0,Male,African American,High School,,A,2,1,7.065851803715585,0,0.4731896739816479,0.6138222798473856,0.3448275862068966
1062,17,0,0,1,17.376021916356407,12,0,2,0,0,1,0,2.331261549308754,3.0,Female,Caucasian,High School,Moderate,B,1,3,6.344005479089102,0,0.5828153873271885,0.8697468488730583,0.4137931034482758
1063,15,0,1,3,13.238031529438572,11,0,3,0,1,0,0,2.234238472600233,3.0,Female,African American,Bachelor,High,B,1,6,5.309507882359643,0,0.5585596181500583,0.6626095095200955,0.3793103448275862
1064,15,0,0,1,8.680977369563614,8,0,2,0,1,0,0,2.3858282190764624,3.0,Female,Caucasian,High School,Moderate,B,1,3,4.1702443423909035,0,0.5964570547691156,0.4344948969419504,0.2758620689655172
1065,17,0,0,2,16.388557073407302,3,1,4,0,0,0,0,3.3473567435078095,1.0,Female,Caucasian,Some College,Very High,D,0,6,7.0971392683518255,0,0.8368391858769524,0.8203168548064407,0.1034482758620689
1066,16,0,1,1,18.111642751462643,6,1,3,1,0,0,0,3.2618553073332905,1.0,Female,African American,High School,High,D,1,4,9.52791068786566,0,0.8154638268333226,0.906570168482074,0.2068965517241379
1067,18,0,0,4,2.3951993286439444,23,0,3,0,1,0,0,1.0396238791477144,4.0,Female,Caucasian,Higher,High,A,1,7,2.598799832160986,1,0.2599059697869286,0.1198447364979617,0.7931034482758621
1068,15,1,0,1,10.638659551055827,28,0,0,0,1,0,0,0.0278186247324679,4.0,Male,Caucasian,High School,,A,1,1,4.659664887763957,1,0.0069546561831169,0.5324915186003789,0.9655172413793104
1069,18,1,3,2,5.690239194848883,21,1,3,0,0,1,0,1.3299645378768772,4.0,Male,Other,Some College,High,A,1,5,6.4225597987122205,1,0.3324911344692193,0.2847861034729609,0.7241379310344828
1070,16,1,2,1,0.941223957538948,1,0,4,0,0,1,0,3.2839165218973836,1.0,Male,Asian,High School,Very High,D,1,5,2.235305989384737,0,0.8209791304743459,0.0470624045699862,0.0344827586206896
1071,16,0,1,2,13.370933902279706,6,0,2,1,0,0,0,2.937454182316864,2.0,Female,African American,Some College,Moderate,C,1,4,5.3427334755699265,0,0.734363545579216,0.6692622663730452,0.2068965517241379
1072,16,1,1,1,17.255415549184512,28,0,3,0,0,1,1,0.7388682028052602,4.0,Male,African American,High School,High,A,2,4,8.313853887296128,1,0.184717050701315,0.8637095989838384,0.9655172413793104
1073,15,0,1,1,3.258053089547881,8,0,2,1,1,0,0,2.556801662833417,2.0,Female,African American,High School,Moderate,C,2,3,4.814513272386971,0,0.6392004157083543,0.1630370147713447,0.2758620689655172
1074,16,0,0,3,16.24827315247801,4,1,2,0,0,0,0,3.300928568970799,1.0,Female,Caucasian,Bachelor,Moderate,D,0,5,7.0620682881195025,0,0.8252321422426997,0.8132945963142119,0.1379310344827586
1075,15,1,0,3,17.067914670738833,14,0,3,1,0,1,0,2.200682946560561,3.0,Male,Caucasian,Bachelor,High,B,2,6,8.266978667684707,0,0.5501707366401403,0.8543237789465642,0.4827586206896551
