Column,Data_Type,Non_Null_Count,Null_Count,Unique_Values
StudentID,int64,2392,0,2392
Age,int64,2392,0,4
Gender,int64,2392,0,2
Ethnicity,int64,2392,0,4
ParentalEducation,int64,2392,0,5
StudyTimeWeekly,float64,2392,0,2392
Absences,int64,2392,0,30
Tutoring,int64,2392,0,2
ParentalSupport,int64,2392,0,5
Extracurricular,int64,2392,0,2
Sports,int64,2392,0,2
Music,int64,2392,0,2
Volunteering,int64,2392,0,2
GPA,float64,2392,0,2371
GradeClass,float64,2392,0,5
Gender_Label,object,2392,0,2
Ethnicity_Label,object,2392,0,4
ParentalEducation_Label,object,2392,0,5
ParentalSupport_Label,object,2392,0,5
GradeClass_Label,object,2392,0,5
Total_Activities,int64,2392,0,5
Support_Score,int64,2392,0,9
Study_Effectiveness,float64,2392,0,2392
Engagement_Score,float64,2392,0,2392
At_Risk,int64,2392,0,2
StudyTimeWeekly_Standardized,float64,2392,0,2392
Absences_Standardized,float64,2392,0,30
GPA_Standardized,float64,2392,0,2371
Support_Score_Standardized,float64,2392,0,9
Study_Effectiveness_Standardized,float64,2392,0,2392
Engagement_Score_Standardized,float64,2392,0,2392
Age_Normalized,float64,2392,0,4
StudyTimeWeekly_Normalized,float64,2392,0,2392
Absences_Normalized,float64,2392,0,30
GPA_Normalized,float64,2392,0,2371
Age_Group,category,2392,0,4
GPA_Category,category,2392,0,4
StudyTime_Category,category,2392,0,4
Absence_Level,category,2392,0,4
GPA_Rank,float64,2392,0,2371
Percentile,float64,2392,0,2371
